Protein IDs,Protein names,Gene names,Control-LFQ intensity P18,Control-LFQ intensity P19,Control-LFQ intensity P20,Di-LFQ intensity P18,Di-LFQ intensity P19,Di-LFQ intensity P20,mean_ctrl,mean_treat,log2FC (treat:ctrl)
A4D225;C9JCP7,Similar to vasoactive intestinal peptide receptor 2 ,LOC389604;VIPR2,1000,1000,1000,29203,21910,34393,1000,28502,4.832991252
A7XYQ1,Sine oculis-binding protein homolog,SOBP,25849,13948,18875,1000,1000,1000,19557.33333,1000,-4.289637765
A2RU48,Single-pass membrane and coiled-coil domain-containing protein 3,SMCO3,20485,18058,17695,1000,1000,1000,18746,1000,-4.228510883
Q567R6;A4D1U3;Q04837,"Single-stranded DNA-binding protein;Single-stranded DNA-binding protein, mitochondrial",SSBP1,29889,29403,33990,1000,1000,1000,31094,1000,-4.958564315
Q29RF7;G1UI16;H0Y9X6;Q29RF7-3,Sister chromatid cohesion protein PDS5 homolog A,PDS5A,1000,1000,1000,29044,18955,20183,1000,22727.33333,4.506356513
Q9NTI5;Q9NTI5-2;B7Z5S1;Q9NTI5-4;Q9NTI5-3,Sister chromatid cohesion protein PDS5 homolog B,PDS5B,4930.2,6700,4392.1,17686,22393,19950,5340.766667,20009.66667,1.905578373
B3KNE2;A0A087WYV5;X6R3P0;O94813-3;O94813-2;O94813,Slit homolog 2 protein;Slit homolog 2 protein N-product;Slit homolog 2 protein C-product,SLIT2,201773,173340,189450,1000,1000,1000,188187.6667,1000,-7.55602827
B7Z3G4;O75044;A0A075B7B5;A0A1S5UZH8;B7ZM87;P0DJJ0;P0DMP2;A0A075B7C8;A0A075B743;B1AKK3;A0A075B7E6;B4DFE5;Q5VZB4;A0A286YEY3;B4DDU0;Q5VZB5,SLIT-ROBO Rho GTPase-activating protein 2,SRGAP2,67960,55494,49055,1000,1000,1000,57503,1000,-5.84556532
A0A0A0MQW9;Q96DJ3;Q6JXY2;A0A087WYJ0;Q9UGI6,Small conductance calcium-activated potassium channel protein 3,KCNN3;SK3,6973.3,3727.7,9374.4,1000,1000,1000,6691.8,1000,-2.742394328
A0A087X241;Q2NKQ1-4;Q2NKQ1;Q2NKQ1-3,Small G protein signaling modulator 1,SGSM1,18693,24234,17685,1000,1000,1000,20204,1000,-4.336569042
O75691,Small subunit processome component 20 homolog,UTP20,19282,11229,13448,14392,12940,11983,14653,13105,-0.161078713
Q96NL6;A0A494C0G8,Sodium channel and clathrin linker 1,SCLT1,29202,20029,25845,1000,1000,1000,25025.33333,1000,-4.645317381
A0A286YEQ8;P35498-3;A0A1W2PPJ3;P35498-2;A0A286YF26;P35498;A0A1B0GVX7;Q99250;Q9UQD0;Q99250-2;Q9UQD0-3;Q9UQD0-2;A0A1B0GWA6;A0A1B0GUN7;A0A2U8RN85;A0A2U8RN74;B4DH28;A0A2U8RN75;A0A1B0GUX7;A0A2U8RN45;Q9UQD0-5;A0A2U8RN66;A0A2U8RN71,Sodium channel protein type 1 subunit alpha;Sodium channel protein type 2 subunit alpha;Sodium channel protein type 8 subunit alpha,SCN1A;SCN2A;SCN8A,7483.2,2938.1,5689.3,12839,20192,17483,5370.2,16838,1.648673063
Q9UI33;Q9UI33-3,Sodium channel protein type 11 subunit alpha,SCN11A,10298,13887,12920,4881.3,6785.5,3002.2,12368.33333,4889.666667,-1.338843083
P35499,Sodium channel protein type 4 subunit alpha,SCN4A,129303,98504,89004,20393,17585,23494,105603.6667,20490.66667,-2.365621099
Q9C007;Q9NY46;Q9NY46-2;A0A1W2PRD1;Q9NY46-4;Q9NY46-3;B4DX83,Sodium channel protein;Sodium channel protein type 3 subunit alpha,SCN3A,3029.5,5565.2,9803.2,16677,13567,20098,6132.633333,16780.66667,1.452221432
Q5PT55,Sodium/bile acid cotransporter 5,SLC10A5,164029,103180,156582,1000,1000,1000,141263.6667,1000,-7.142246639
O60721;F5H483;F5H127;B4E1W0;O60721-3;O60721-2,Sodium/potassium/calcium exchanger 1,SLC24A1,17584,12900,13783,15464,19404,13346,14755.66667,16071.33333,0.123220521
A0AV02-2;A0AV02;B3KVN1;A0AV02-5;A0AV02-3,Solute carrier family 12 member 8,SLC12A8,1000,1000,1000,50038,34031,30232,1000,38100.33333,5.251731715
F5H081;B4DV25;I3L2R4;B2R8H4;P14672-2;P14672,"Solute carrier family 2, facilitated glucose transporter member 4",SLC2A4,41648,43096,57988,1000,1000,1000,47577.33333,1000,-5.572202507
Q9UHI7;B4DV52;B4DPH3;A8K424;Q9UHI7-2;B3KS23;Q9UHI7-3,Solute carrier family 23 member 1,SLC23A1,43040,38948,50394,1000,1000,1000,44127.33333,1000,-5.463600661
C9JYJ7,Solute carrier family 41 member 2 (Fragment) ,SLC41A2,1000,1000,1000,8356.6,9945.2,10586,1000,9629.266667,3.267425931
Q9NYB5-3;Q9NYB5;F5H6S4;Q9NYB5-4;Q9NYB5-2,Solute carrier organic anion transporter family member 1C1,SLCO1C1,20394,17685,24483,19504,22686,14839,20854,19009.66667,-0.133590899
Q9BX66;Q9BX66-3;Q9BX66-11;Q9BX66-5;Q9BX66-2;Q9BX66-10;Q9BX66-6;Q9BX66-9;Q9BX66-4;B4DH45;B4E264;A0A0U1RQI5;Q6MZY5;B4DTX5;Q9BX66-7;Q9BX66-8,Sorbin and SH3 domain-containing protein 1,SORBS1,13029,10383,18494,1000,1000,1000,13968.66667,1000,-3.804122414
Q9Y5W8;B3KN60;A0A024RA48;A0A087WUZ7;Q86XC4;A0A024R9Z9;B4DGG2;Q9Y5W8-2,Sorting nexin-13,SNX13,21839,14339,23187,16538,23935,14322,19788.33333,18265,-0.115568353
Q8TEQ0;Q8TEQ0-2;H3BQF0;A0A0C4DGM3,Sorting nexin-29,SNX29,1000,1000,1000,67050,73343,53029,1000,64474,6.010645587
P02549;P02549-2;D3DVD8,"Spectrin alpha chain, erythrocytic 1",SPTA1,39202,30027,25430,24590,32230,30293,31553,29037.66667,-0.119851651
Q13813;Q13813-3;Q13813-2;Q9UG16;A0A384P5S9;A0A024R889;A0A0D9SF54;A0A0D9SGF6;A0A1B0GUH3;Q14917;B4DGT1,"Spectrin alpha chain, non-erythrocytic 1",SPTAN1;DKFZp564P0562,19302,22920,17869,31389,35584,29058,20030.33333,32010.33333,0.67635127
P11277;P11277-2;Q8WX82;H0YJE6;B2RMN7;A0A024R674;Q59FP5;P11277-3;Q71VF8,"Spectrin beta chain, erythrocytic",SPTB;HSpTB1,40039,49039,34807,32190,42219,30294,41295,34901,-0.242698737
Q9H254;C9JY79;Q71S06;M0QZQ3;A0A024R0N6;Q9H254-3;Q9H254-4;Q9H254-5;Q9UFA1;M0R1V6;Q9H254-2,"Spectrin beta chain, non-erythrocytic 4",SPTBN4,24840,31229,20017,1000,1000,1000,25362,1000,-4.664596613
Q9NRC6,"Spectrin beta chain, non-erythrocytic 5",SPTBN5,19579,14457,21390,5493.4,3439.1,2238.5,18475.33333,3723.666667,-2.310804556
A0A1B0GWD8;Q9C093;D6REZ4;A0A140VKD0;Q9C093-3;Q9C093-2,Sperm flagellar protein 2,SPEF2,3927.5,8000,4548.4,5449.2,6048.2,3293.6,5491.966667,4930.333333,-0.155637681
P28290;E9PHV5;P28290-3;B4E2E5;P28290-2,Sperm-specific antigen 2,SSFA2,41839,55049,50178,1000,1000,1000,49022,1000,-5.615357439
Q99500,Sphingosine 1-phosphate receptor 3,S1PR3,42210,53438,64972,1000,1000,1000,53540,1000,-5.742545234
O75533;A0JLT9;Q32Q20;A0PJH5;Q7Z497,Splicing factor 3B subunit 1,SF3B1,1000,1000,1000,60485,67770,45960,1000,58071.66667,5.859762535
P23246;Q9BSV4;Q86VG2;A0A384N5Z8;P23246-2;H0Y9K7;H0Y9U2,"Splicing factor, proline- and glutamine-rich",SFPQ,50237,34950,56767,21999,18540,28697,47318,23078.66667,-1.035829219
Q12872;Q12872-2;F5H1A5;B4DHK4;A5PLM7;H0YFR9;Q59H38,"Splicing factor, suppressor of white-apricot homolog",SFSWAP;SFRS8,1000,1000,1000,1989.2,2129.7,2001.9,1000,2040.266667,1.028757727
Q9HCB6,Spondin-1,SPON1,14950,11038,20365,15546,19576,12940,15451,16020.66667,0.05223397
H7C3Y6;Q7Z698;C9J623;H7C2T4;B3KPL5;C9JG63;Q7Z698-2,"Sprouty-related, EVH1 domain-containing protein 2",SPRED2,169404,239044,190485,1000,1000,1000,199644.3333,1000,-7.641288313
Q86WV1;V9HW03;A8K453;Q86WV1-2;J3QKX8,Src kinase-associated phosphoprotein 1,SKAP1;HEL-S-81p,24839,13290,15565,1000,1000,1000,17898,1000,-4.161726478
Q96SB4-3;H3BLV9;Q96SB4;D6RBF8;A0A024RCU9;A8K8B2;Q96SB4-4,SRSF protein kinase 1,SRPK1,12002,20012,14594,62034,71038,71352,15536,68141.33333,2.132915071
Q9P2P6;Q9P2P6-2;Q9P2P6-3,StAR-related lipid transfer protein 9,STARD9,10477,4549.6,15405,1000,1000,1000,10143.86667,1000,-3.342535782
A2A2D0;Q96CE4;B5BU83;A0A140VJW2;P16949;P16949-2,Stathmin,STMN1,85019,94156,107630,1000,1000,1000,95601.66667,1000,-6.578963864
Q9H2G2;Q9H2G2-2;B4DZC9,STE20-like serine/threonine-protein kinase,SLK,18839,13290,12182,1000,1000,1000,14770.33333,1000,-3.88463048
Q8N6K7;Q8N6K7-3;E9PRU9;E9PS85;E9PR28;Q8N6K7-2,Sterile alpha motif domain-containing protein 3,SAMD3,78079,89890,67606,1000,1000,1000,78525,1000,-6.295080133
Q96F89;H0YGT3;Q8N4S8;Q96I02;Q569H8;P11474-2;P11474,Steroid hormone receptor ERR1,ESRRA,62987,49950,56981,36211,37717,41384,56639.33333,38437.33333,-0.559296035
Q9BX79-3;Q9BX79;B3KRT6;B7Z5G8;B3KR81;J3KQI6;B3KPB8;B7Z5G7;Q9BX79-6;Q9BX79-5;Q9BX79-4,Stimulated by retinoic acid gene 6 protein homolog,STRA6,25549,16599,20185,1000,1000,1000,20777.66667,1000,-4.376961743
Q15772;Q15772-1;B9ZVR7;H7C3Y5;H7BZM6;Q15772-4;Q15772-3,Striated muscle preferentially expressed protein kinase,SPEG,18493,23203,14389,32493,38859,25849,18695,32400.33333,0.793356184
Q13586;E9PNJ4;V5J3L2;G0XQ39;H0YDB2;Q13586-2,Stromal interaction molecule 1,STIM1,30183,21394,23343,27688,22390,23489,24973.33333,24522.33333,-0.026292139
A6NHR9;J3KTL8;A6NHR9-2;A6NHR9-3;A0A2R8YE92;A0A2R8YCU7,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,SMCHD1,1000,1000,1000,29102,20238,23448,1000,24262.66667,4.600666218
Q8NDV3;Q8NDV3-2;Q8NDV3-3,Structural maintenance of chromosomes protein 1B,SMC1B,4993.5,6065.3,2940.4,7786.8,10034,5032.2,4666.4,7617.666667,0.707039181
Q9UQE7;B0AZQ4;Q86VX4,Structural maintenance of chromosomes protein 3;Structural maintenance of chromosomes protein,SMC3,28906,24035,34459,40028,28957,30143,29133.33333,33042.66667,0.181659343
Q96SB8;A0A2S1ZR87;A0A2S1ZR79;Q96SB8-2;C9JMN1,Structural maintenance of chromosomes protein 6,SMC6,10283,23290,18977,21485,20167,13243,17516.66667,18298.33333,0.062983986
H3BRR6;Q9H5H2;Q9BQ83,Structure-specific endonuclease subunit SLX1,SLX1B;SLX1;SLX1A,205865,164906,266670,154030,199543,245594,212480.3333,199722.3333,-0.089333648
Q5S4N2;B4E278;H0Y6N5;H0Y742;A7MCZ7;E9PHI4;A0A146IHP0;A4D2Q0;O94901-6;O94901-5;O94901-8;O94901;O94901-9,SUN domain-containing protein 1,SUN1;UNC84A,16811,23912,17515,1000,1000,1000,19412.66667,1000,-4.278926406
Q9Y5Y6;B2RAF9;Q8WVC1,Suppressor of tumorigenicity 14 protein;Suppressor of tumorigenicity 14 protein homolog,ST14,19023,12390,23234,14438,20184,14342,18215.66667,16321.33333,-0.158420877
Q8TER0;Q8TER0-5;Q8TER0-3;Q8TER0-4;B5MEF5,"Sushi, nidogen and EGF-like domain-containing protein 1",SNED1,3994.7,2200,5901.1,1000,1000,1000,4031.933333,1000,-2.011471785
Q92922;Q05BW5;Q05CR1;B4DYQ1;Q58EY4,SWI/SNF complex subunit SMARCC1,SMARCC1,8392.3,12930,10489,1000,1000,1000,10603.76667,1000,-3.406504924
Q9UH65;B4E245;E7EMB1;B3KUB9;E9PJM7,Switch-associated protein 70,SWAP70,34038,29303,39202,1000,1000,1000,34181,1000,-5.0951227
Q15530;B3KSV8;Q86VA8;Q92777-2;Q92777,Synapsin-2,syn2;SYN2,78695,60485,69056,1000,1000,1000,69412,1000,-6.117113193
O15056;O15056-3;O15056-2;E7ER60;B4DLC4;A0A1W2PR85;B4DG94;H7BY56;H0YEV8;B4DJU8,Synaptojanin-2,SYNJ2,29004,34920,24438,10374,13657,9844.3,29454,11291.76667,-1.38319235
Q8N3V7-2;A7MD96;Q8N3V7;Q8N3V7-3;B3KXB8,Synaptopodin,SYNPO,19033,23283,15894,2493.7,3574.9,1459,19403.33333,2509.2,-2.951005144
Q9BSW7;H3BMD4;H3BQZ6;H3BRH9;B4DJB2;H3BN78;H3BSP0,Synaptotagmin-17,SYT17,44390,29405,40037,1000,1000,1000,37944,1000,-5.245799868
Q86SS6;B2RCA8;Q8NCP8;E9PDN4,Synaptotagmin-9,SYT9,29033,21304,30282,26559,32584,20177,26873,26440,-0.023435211
A0A1Y8EH08,Synaptotagmin-like protein 2 (Fragment) ,SYTL2,50475,38273,52300,1000,1000,1000,47016,1000,-5.555079898
Q8TDW5;Q8TDW5-2,Synaptotagmin-like protein 5,SYTL5,1000,1000,1000,7054.3,5932.1,9980.2,1000,7655.533333,2.936502889
J3KNU7,Syntaxin-2 (Fragment) ,STX2,1000,1000,1000,103743,154895,187905,1000,148847.6667,7.217692796
Q9Y4G6;B4DGF3;H0YMT1;A0A1B0GVU7;G1UI21,Talin-2,TLN2,4320.4,6549.3,8532.2,1000,1000,1000,6467.3,1000,-2.693163535
B7Z5E5;Q9BPZ7-4;Q9BPZ7;H0Y7F8;B1AMA6;E9PGB8;B1AMA5;A0A024R863;Q9BPZ7-3;Q9BPZ7-2,Target of rapamycin complex 2 subunit MAPKAP1,MAPKAP1,78906,60485,59987,1000,1000,1000,66459.33333,1000,-6.054399916
A0A1D5RMT6,TATA box-binding protein-associated factor RNA polymerase I subunit D (Fragment) , TAF1D,55400,53007,67976,1000,1000,1000,58794.33333,1000,-5.877605208
Q6IQ55;Q8IWY7;Q6IQ55-2;A0A0B4J292;Q6IQ55-3,Tau-tubulin kinase 2,TTBK2,284030,189437,277897,43002,55432,40257,250454.6667,46230.33333,-2.437637823
B4DVF9;Q86VP1;Q86VP1-2;B8ZZD4;Q86VP1-3;Q86VP1-4,Tax1-binding protein 1,TAX1BP1,24937,32238,34013,20384,28494,34549,30396,27809,-0.128329616
Q86TI0;H0Y8P0;Q7Z6H2;Q6PJJ8;B9A6J6;Q86TI0-2;H0YA01;Q8NC59;A0JNU9;B4E0Y2;C9JIE2,TBC1 domain family member 1,TBC1D1,1000,1000,1000,19300,12894,23666,1000,18620,4.218781168
Q9HA65;Q9HA65-3;M0QXA2;Q96RQ7;Q6YL46;A0A087WXG5;M0QYC9;M0R2L2;Q9HA65-2,TBC1 domain family member 17,TBC1D17,60044,43940,49587,1000,1000,1000,51190.33333,1000,-5.677799496
Q8WUA7-3;Q8WUA7;B4DWA9;A0A0A0MRY0;B3KP29;B2RE30;Q8WUA7-4;B0QYI1;Q8WUA7-2,TBC1 domain family member 22A,TBC1D22A,30476,24345,21037,1000,1000,1000,25286,1000,-4.66026693
Q0IIM8;J3KN75;Q0IIM8-2;Q0IIM8-3;Q8N250,TBC1 domain family member 8B,TBC1D8B,30294,49504,28940,1000,1000,1000,36246,1000,-5.179749887
Q13207;Q59FT1;Q69YM3;A0A024QZ86;F8WCM9,T-box transcription factor TBX2,TBX2;DKFZp762H2012,20939,16596,23324,24950,22239,20006,20286.33333,22398.33333,0.142883257
Q8N3R3;Q8N3R3-4;A0A024R2R9;A0A0U1RQT4;Q8N3R3-3;Q8N3R3-2,"T-cell activation inhibitor, mitochondrial",TCAIM,10854,18403,12396,18890,20015,13496,13884.33333,17467,0.331173936
Q59EZ2;G3V2A4;Q99973;H0YIZ2;H0YIY9;G3V5X7;Q99973-2,Telomerase protein component 1,TEP1,2894.6,4002.8,4956.7,1000,1000,1000,3951.366667,1000,-1.982351727
A0A3B3ISX9;P22105;A0A087WWA5;A0A087X0I0;A0A140T9L7;A0A140T8Z8;A0A140T9C0;A0A140T902;A0A140T8Y3;A0A140TA52;A0A140TA41;A0A140TA33;P22105-1;P22105-4,Tenascin-X,TNXB,26678,34930,23320,1000,1000,1000,28309.33333,1000,-4.82320587
Q8IZW8;A0A2Z4HJF2;J3QLA4;Q6PJP3,Tensin-4,TNS4,1000,1000,1000,34930,21029,38897,1000,31618.66667,4.982704627
Q5TAX3;E9PKY2;A0A0C4DFM7;E9PRG2;E9PKX1;Q5TAX3-2;X6R5G7,Terminal uridylyltransferase 4,ZCCHC11,1000,1000,1000,24567,30016,20175,1000,24919.33333,4.639193567
Q9P2T0;Q9P2T0-2,Testicular haploid expressed gene protein,THEG,1000,1000,1000,30283,44309,32104,1000,35565.33333,5.15239978
Q9BXU3,Testis-expressed sequence 13A protein,TEX13A,1000,1000,1000,21661,24140,33730,1000,26510.33333,4.728482905
Q9BXT5;B2RU27;D3DSV6;A0A2R8Y358;A0A1W2PS94,Testis-expressed sequence 15 protein,TEX15,20388,13206,15639,11957,18594,14437,16411,14996,-0.130085421
Q8IWB9;Q8IWB9-2;J3KRY2;J3QKY0;Q7L166;Q7Z2T6;Q2YDX6;Q9NWL7;J3KRZ8;B3KR82;A0A087WVA8,Testis-expressed sequence 2 protein,TEX2;MST069,6859.5,3002.7,5311.7,1000,1000,1000,5057.966667,1000,-2.338557529
Q9UJT2;C9K0I0;Q9UJT2-2,Testis-specific serine kinase substrate,TSKS,1000,1000,1000,49203,34230,44543,1000,42658.66667,5.414766969
Q9BZE9;Q9BZE9-2;J3KRY8;Q9BZE9-3;Q9BZE9-4;J3KRF7;J3QL04,Tether containing UBX domain for GLUT4,ASPSCR1,1000,1000,1000,20588,30286,25490,1000,25454.66667,4.669858268
Q7Z4L5;A0A494C0N4;Q7Z4L5-2;A8KA77,Tetratricopeptide repeat protein 21B,TTC21B,19443,13074,23892,1000,1000,1000,18803,1000,-4.232890956
G3V435;G3V3A5,Tetratricopeptide repeat protein 6 ,TTC6,77018,60105,75513,136360,150265,100510,70878.66667,129045,0.864450874
Q9ULT0;G5E9G4;B3KPK7;Q9ULT0-4;H7C055;I6L9J2;Q6P0M3;H0Y3V7;H7C1P2;Q9ULT0-3,Tetratricopeptide repeat protein 7A,TTC7A,13927,10028,8594.5,33920,41102,30017,10849.83333,35013,1.690217799
Q8WY91,THAP domain-containing protein 4,THAP4,27485,29037,21384,20016,26758,30005,25968.66667,25593,-0.021022673
B7ZKK1;H0Y5J5;Q7RTV5,Thioredoxin-like protein AAED1,C9orf21;AAED1,1000,1000,1000,5223.7,4931.6,8458.5,1000,6204.6,2.633338205
Q16762;B4DVZ4;Q53EW8;A0A384NKQ2;B1AH48,Thiosulfate sulfurtransferase;Sulfurtransferase,TST,32028,28869,24384,1000,1000,1000,28427,1000,-4.829189949
P49746;F5H4Z8;Q53FK6;Q2HIZ0;Q2HIZ1;B3KQE1;P49746-2,Thrombospondin-3,THBS3,10673,30247,16657,1000,1000,1000,19192.33333,1000,-4.262458215
A0A0C4DG43;Q969D9-2;Q969D9,Thymic stromal lymphopoietin,TSLP,1000,1000,1000,40729,30809,41920,1000,37819.33333,5.241052027
Q8IZR3;H3BV57;B4E0Z4;A0A0A0MSY7;O00142-6,Thymidine kinase ,TK2,40274,52246,39202,1000,1000,1000,43907.33333,1000,-5.456390011
Q9Y2W1;A0A3B3ITZ9,Thyroid hormone receptor-associated protein 3,THRAP3,56650,67950,60168,21903,17685,13338,61589.33333,17642,-1.803666389
Q15654;F2ZC06;F2ZC09;Q68D94;Q15654-3;Q15654-2,Thyroid receptor-interacting protein 6,TRIP6;TRIP6i1;TRIP6i4;DKFZp686J22257,23947,17743,28990,1000,1000,1000,23560,1000,-4.558267634
Q07157;Q07157-2;A0A087X0K9;Q6MZU1;G5E9E7;A9CQZ8;G3V1L9;H0YKB1;B4DZK4;Q68DX9,Tight junction protein ZO-1,TJP1;DKFZp686A1195,6954.4,3958.2,7002.1,4087.7,5552.8,3212.9,5971.566667,4284.466667,-0.478993851
A0A3B3IRI3;Q9UDY2;A0A3B3IU51;A0A1B0GTW1;A0A3B3ITE1;A0A024R233;B7Z954;B1AN86;A0A3B3ISZ5;A0A024R225;B7Z2R3;Q9UDY2-2;A0A3B3IRV6;A0A2R8YDH4;Q9UDY2-4;Q9UDY2-6;Q9UDY2-3;Q9UDY2-5;A0A3B3ISF1;A0A3B3IU26;Q9UDY2-7,Tight junction protein ZO-2,TJP2,15840,12129,10036,14903,16047,12434,12668.33333,14461.33333,0.190973841
Q8IUC6;A0A087WVI8,TIR domain-containing adapter molecule 1,TICAM1,34033,25547,30126,1000,1000,1000,29902,1000,-4.902170077
Q8WZ42-12;A0A0A0MTS7;D3DPG0;Q8WZ42;Q8WZ42-7;C0JYZ2;Q8WZ42-4;Q8WZ42-11;Q8WZ42-2;Q8WZ42-8;Q8WZ42-13;Q8WZ42-5;A0A0A0MRA3;Q8WZ42-10;D3DPF9;Q8WZ42-9;Q8WZ42-3;H7C1P9;B1A7R7;Q71S18;Q6ZP81,Titin,TTN,4303.8,2992.1,3495.4,90284,81201,91103,3597.1,87529.33333,4.60486041
Q8IVF5;Q59EY7;E9PMZ8;B3KW11;Q8IVF5-5;Q8IVF5-2,T-lymphoma invasion and metastasis-inducing protein 2,TIAM2,39045,25658,28605,13236,10166,9855.4,31102.66667,11085.8,-1.488325394
A5HU65;Q96KP6;Q96KP6-2;Q96KP6-3,TNFAIP3-interacting protein 3,TNIP3,1000,1000,1000,390560,235949,300024,1000,308844.3333,8.27073605
Q96HA7-2;Q96HA7;Q59GI3,Tonsoku-like protein,TONSL,28796,34585,32508,1000,1000,1000,31963,1000,-4.998330919
Q8TDR0;Q8TDR0-2,TRAF3-interacting protein 1,TRAF3IP1,21022,13899,14389,1000,1000,1000,16436.66667,1000,-4.038845847
O75764;S4R419;B4DUM4;S4R3M9;O75764-2,Transcription elongation factor A protein 3,TCEA3,45903,32900,40058,41946,42383,32940,39620.33333,39089.66667,-0.019453736
Q9HCS4;Q53T87,Transcription factor 7-like 1,TCF7L1,1000,1000,1000,79606,88707,73824,1000,80712.33333,6.334717238
H3BVE4;Q16254;H3BMP3;H3BTM3,Transcription factor E2F4,E2F4,103756,144540,99864,1000,1000,1000,116053.3333,1000,-6.858644151
H3BN24;Q66K89;H3BUJ7;Q59GV1;B4DL00;H3BSL4,Transcription factor E4F1,E4F1,43533,56494,40027,38695,40038,32048,46684.66667,36927,-0.338272721
Q9Y543;K7EJQ0;K7EJN2;Q9Y543-2,Transcription factor HES-2,HES2,40837,46126,32190,30048,42183,35748,39717.66667,35993,-0.142064515
Q33E94-4;Q33E94-2;B4DZB7;Q33E94;Q33E94-3,Transcription factor RFX4,RFX4,29304,23239,34575,12393,17769,11304,29039.33333,13822,-1.071041949
Q9UN79;E9PPW0;B4E3N9;B4DX26,Transcription factor SOX-13,SOX13,30277,38667,28695,1000,1000,1000,32546.33333,1000,-5.024423114
B4E2D5;R4GND2;Q8NEM7;H7C5F9;B3KNI1;A8K8L1;A0A024RDW2;Q0D2Q4;Q8NEM7-2;Q8NEM7-3,Transcription factor SPT20 homolog,SUPT20H;FAM48A,1000,1000,1000,55906,43489,40003,1000,46466,5.538103551
Q8IZX4;P21675;P21675-2;P21675-3;H0Y8N6;H0Y9L7;P21675-10;P21675-11;P21675-8;P21675-6;P21675-7;P21675-5;P21675-9;P21675-12;P21675-4,Transcription initiation factor TFIID subunit 1-like;Transcription initiation factor TFIID subunit 1,TAF1L;TAF1,4594.7,7685.1,3320.4,1000,1000,1000,5200.066667,1000,-2.378530119
Q6P1X5;E5RI28;A0A024R9E6,Transcription initiation factor TFIID subunit 2,TAF2,12005,16854,18906,1000,1000,1000,15921.66667,1000,-3.992919459
C9JNM8;B4DPR9;Q99551;C9JU79;C9JE25;B2R952,"Transcription termination factor 1, mitochondrial",MTERF1,302740,231923,288879,265849,344385,201748,274514,270660.6667,-0.020394482
Q8NI51;Q8NI51-10;B2RA05;A6XGM9;V9GY73;Q8NI51-11;Q8NI51-5;Q8NI51-2;Q8NI51-8;Q8NI51-6;Q8NI51-3;Q8NI51-7;Q8NI51-4;Q8NI51-9;A6XGN5;A6XGM4;A6XGM0;V9GYX4;A6XGM5;A6XGM6;F5H2V8;V9GZ46,Transcriptional repressor CTCFL,CTCFL,1000,1000,1000,45940,33304,40294,1000,39846,5.316362999
Q12986;Q12986-2;Q12986-3;A0JLR2,Transcriptional repressor NF-X1,NFX1,11190,8695.7,13900,6790.4,13294,8776.2,11261.9,9620.2,-0.227311453
Q9BWW7;Q9NQ03;O43623;A0A1X7SC17;S4R3F8,Transcriptional repressor scratch 1;Transcriptional repressor scratch 2;Zinc finger protein SNAI2,SCRT1;SCRT2;SNAI2,59405,64869,50384,1000,1000,1000,58219.33333,1000,-5.863426414
Q9Y4A5;Q59FH1;H0Y4W2;F2Z2U4;Q9Y4A5-2;A0A2R8YFJ4,Transformation/transcription domain-associated protein,TRRAP,12202,23293,18966,20118,13444,14385,18153.66667,15982.33333,-0.183782923
P10600;A5YM40;B3KVH9;P10600-2,Transforming growth factor beta-3;Latency-associated peptide,TGFB3,23900,40024,29505,34920,26854,37890,31143,33221.33333,0.093202051
H3BV60,Transforming growth factor-beta receptor type 3-like protein,TGFBR3L,32944,40284,31027,1000,1000,1000,34751.66667,1000,-5.119010265
O94759;Q5KTC1;Q14DR2;E9PGK7;O94759-2;O94759-3,Transient receptor potential cation channel subfamily M member 2,TRPM2,95845,79907,100034,1000,1000,1000,91928.66667,1000,-6.522442911
A2A3F7;Q9HCF6-11;Q9HCF6;Q9H200;A0A023JDW0;Q6NW43;Q8TBK0;Q9HCF6-10;Q9HCF6-8;Q9HCF6-4;Q9HCF6-2;Q9HCF6-5;Q9HCF6-6;Q9HCF6-3;Q9HCF6-7,Transient receptor potential cation channel subfamily M member 3,TRPM3;MLSN2,3220.3,5110.6,2221.3,6037.3,4323.2,4003.6,3517.4,4788.033333,0.444923788
Q8NER1-3;Q8NER1;A0A3B3ISI9;Q52PU4;E7ESJ2;I3L1R6;Q09HS5;D3DTJ2;Q3LU46;E7EQ78,Transient receptor potential cation channel subfamily V member 1,TRPV1;hCG_2033443,20984,14904,23247,1000,1000,1000,19711.66667,1000,-4.30097786
Q8NET8;Q2M3L1;B2KYM6;Q8NET8-3;Q8NET8-2;I3L0L5;I3L402;B4E3L1;J3KPJ6;B3KXP7;B7ZKP6;B7ZKP9;A0A087X170,Transient receptor potential cation channel subfamily V member 3,TRPV3,12044,10276,16857,13857,15546,12049,13059,13817.33333,0.081434785
Q13144;A0A3B3ITK8;A0A3B3IST9;A0A3B3ISI2;A0A3B3ISS1;A0A3B3IS56;A0A3B3ISV1;A0A3B3IRP4;A0A3B3ITQ2;A0A3B3IUF2;A0A3B3ISM8;A0A3B3ISX3;A0A3B3ITG6;A0A3B3IUB1,Translation initiation factor eIF-2B subunit epsilon,EIF2B5,1000,1000,1000,8594.4,5039.3,6659.2,1000,6764.3,2.757940645
P46199;H7C213;Q8IWH1,"Translation initiation factor IF-2, mitochondrial",MTIF2,1000,1000,1000,29574,20188,34589,1000,28117,4.813370766
